First_Name,Last_Name,Company,Phone_E164,WhatsApp,Country,Region,Product_Category,Priority_Tier
Global,Granite,Global Granite & Trading Co. Ltd,+441322660550,,UK,EU,Stone Importer,Tier 1
International,Stones,International Stones (UK) Ltd,+441142855717,,UK,EU,Stone Importer - Wholesaler,Tier 2
Interstones,UK,Interstones UK,+442080902090,,UK,EU,Stone Wholesaler,Tier 2
Imperial,Stone Group,Imperial Stone Group Ltd,+442034096253,,UK,EU,Stone Importer - Wholesaler,Tier 2
Marble,City,Marble City Ltd,+442088711191,,UK,EU,Stone Supplier - Fabricator,Tier 3
Pietre,Rapolano,Pietre di Rapolano SRL,+390552326120,,Italy,EU,Marble Travertine Supplier,Tier 3
Acemar,Stone,Acemar Stone,+390452457128,,Italy,EU,Marble Granite Supplier,Tier 2
BMB,,BMB (Belgian Marble and Granite Companies),+3256680561,,Belgium,EU,Stone Wholesaler - Sawmill,Tier 1
Lenarduzzi,Natuursteen,Lenarduzzi Natuursteen B.V.,+31356014727,,Netherlands,EU,Stone Designer - Supplier,Tier 2
Snijders,Natuursteen,Snijders Natuursteen Almere B.V.,+31207113050,,Netherlands,EU,Stone Wholesaler,Tier 1
Pankaj Kumar,Bajaj,Fair Deal Marbles & Granite IND LLC,+97165343255,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Kaushik,Swamy,Al Mina Marble & Granite Trading LLC,+97165392488,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Ramez,Elias,ARStones Marble Trading Co. LLC,+97165436706,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Glaze,Management,Glaze Granite & Marble Tr. Est.,+97165353123,,UAE,Middle East,Stone Importer,Tier 1
Rathath,Management,Rathath Trading Co. LLC,+97165355218,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Mohammed Ali,Al Shaba,Natural Stone Trading LLC,+97142662840,+971502710092,UAE,Middle East,Stone Importer - Distributor,Tier 1
Dar Al Rokham,Management,Dar Al Rokham LLC,+97148802545,,UAE,Middle East,Stone Contractor - Supplier,Tier 1
Al Majid,Management,Al Majid Stone LLC,+97142610004,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Grani Marmo,Management,Grani Marmo Classic Stones Factory LLC,+97148834885,,UAE,Middle East,Stone Factory - Distributor,Tier 1
Al Hadeer,Management,Al Hadeer Marble & Stone Cutting Factory LLC,+97165424181,+971552279699,UAE,Middle East,Stone Factory - Distributor,Tier 1
Natural Stones,Management,Natural Stones Marbles Trading LLC,+97165352252,+971565043631,UAE,Middle East,Stone Importer - Distributor,Tier 1
Mohammad,Kamran,Ronak International Marble & Natural Stone Trading LLC,+97165525788,+971566295555,UAE,Middle East,Stone Importer - Distributor,Tier 1
Al Taj,Management,Al Taj Marble & Tiles Ind. LLC,+97165239051,+971555575049,UAE,Middle East,Stone Importer - Distributor,Tier 1
Al Milad,Management,Al Milad General Trading Co. LLC,+97165345587,,UAE,Middle East,Stone Stockist - Distributor,Tier 1
Al Remal,Management,Al Remal Tiles & Marble Co. LLC,+97165353489,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Maurice,Broummana,Siom Marble & Granite Factory LLC,+97165422240,,UAE,Middle East,Stone Factory - Distributor,Tier 1
Al Hashem,Management,Al Hashem Marble Co. LLC,+97125515700,,UAE,Middle East,Stone Importer - Distributor,Tier 1
Al Qemah,Management,Al Qemah Marble & Granite LLC,+97165436746,,UAE,Middle East,Stone Importer - Distributor,Tier 2
Abdul,Junaid,Saudi Marble & Granite Factory Co. Ltd. (SMG),+966114405800,,Saudi Arabia,Middle East,Stone Factory - Importer,Tier 1
Fanar,Management,Fanar Marble Factory,+966581977475,,Saudi Arabia,Middle East,Stone Factory - Importer,Tier 1
Marble Boutique,Management,Marble Boutique,+966112192329,,Saudi Arabia,Middle East,Stone Importer - Distributor,Tier 1
AkmaStone,Management,AkmaStone,+966531972124,,Saudi Arabia,Middle East,Stone Importer - Distributor,Tier 1
ORYX,Management,ORYX For Marble & Granite,+97444154386,,Qatar,Middle East,Stone Factory - Importer,Tier 1
Nabina,Management,Nabina Marble Factory,+97444652345,,Qatar,Middle East,Stone Factory - Importer,Tier 1
Middle East Marble,Management,Middle East Marble & Granite Trading WLL,+97441402454,,Qatar,Middle East,Stone Importer - Distributor,Tier 2
Al-Fan,Management,Al-Fan Al-Damishqe,+97455804003,,Qatar,Middle East,Stone Importer - Distributor,Tier 1
Al-Jehad,Management,Al-Jehad International Co. Stone Marble Granite,+96524927891,,Kuwait,Middle East,Stone Importer - Distributor,Tier 1
Five Continents,Management,Five Continents Marble LLC (5CM),+96824816281,+96899257846,Oman,Middle East,Stone Importer - Factory,Tier 1
Al Ajmi,Management,Al Ajmi Marble LLC,+96824699979,+96899885691,Oman,Middle East,Stone Importer - Exporter,Tier 1
